employee_id,project_id,project_name,sector,complexity,role,start_date,end_date,allocation_percentage,delivery_status
1031,PROJ_1003,Reiciendis amet temporibus.,Transport,High,Analyst,2023-02-12,2024-01-21,50,On Track
1031,PROJ_1004,Quasi numquam veniam.,Retail,Critical,Advisor,2024-12-19,2025-09-06,58,Delayed
1031,PROJ_1005,Libero qui impedit.,Aviation,High,Engineer,2024-03-28,2024-10-02,96,Delayed
1032,PROJ_1001,Alias a odio.,Government,High,Engineer,2024-12-21,2025-03-28,61,Delayed
1032,PROJ_1002,Perferendis in consectetur doloremque minima.,Government,Low,Advisor,2022-12-02,2023-11-20,92,Completed
1032,PROJ_1003,Cumque placeat in.,Insurance,High,Engineer,2024-10-21,2025-03-31,50,On Track
1032,PROJ_1004,Consequuntur nobis saepe similique.,Insurance,High,Lead,2023-07-23,2024-02-18,69,Completed
1033,PROJ_1001,Dignissimos quam voluptas rerum.,Healthcare,Low,Advisor,2023-09-10,2024-04-07,69,Completed
1033,PROJ_1002,Odit molestias odio.,Retail,Low,Lead,2023-01-22,2024-01-04,73,Completed
1033,PROJ_1003,Reiciendis provident autem officiis consectetur.,Insurance,Medium,Advisor,2024-08-15,2025-01-20,97,On Track
1033,PROJ_1004,Accusantium quas tempora mollitia modi.,Banking,Medium,Analyst,2023-01-17,2023-12-14,83,Delayed
1034,PROJ_1001,In nemo.,Aviation,Low,Engineer,2023-11-26,2024-04-03,86,Completed
1034,PROJ_1002,Ullam dignissimos blanditiis laboriosam.,Insurance,Low,Engineer,2024-08-28,2025-05-12,95,Delayed
1034,PROJ_1003,Animi minus odio.,Insurance,Low,Advisor,2024-10-23,2025-10-09,58,Delayed
1034,PROJ_1004,Neque animi.,Insurance,High,Analyst,2023-05-25,2023-09-21,75,On Track
1034,PROJ_1005,Dolorum natus explicabo.,Aviation,Low,Advisor,2025-09-18,2026-04-07,72,Completed
1034,PROJ_1006,Quas quod cupiditate blanditiis.,Insurance,Low,Lead,2025-08-08,2025-12-11,76,Completed
1035,PROJ_1001,Officia provident nam.,Energy,Critical,Advisor,2023-02-27,2023-12-05,74,Completed
1035,PROJ_1002,Porro placeat omnis ut nulla.,Aviation,Medium,Advisor,2024-10-20,2025-07-15,83,Completed
1035,PROJ_1003,Labore dolore.,Healthcare,High,Advisor,2024-10-13,2025-01-12,93,Delayed
1036,PROJ_1001,Voluptatem ut.,Banking,Critical,Lead,2023-08-04,2024-02-27,59,On Track
1036,PROJ_1002,Consequuntur praesentium voluptate.,Healthcare,Critical,Analyst,2024-10-27,2025-03-23,65,Completed
1036,PROJ_1003,Ad accusamus ab.,Healthcare,Critical,Analyst,2025-07-09,2025-11-27,65,Completed
1036,PROJ_1004,Inventore voluptatum deleniti.,Banking,Medium,Analyst,2023-03-03,2024-01-11,58,On Track
1036,PROJ_1005,Ab error.,Government,Medium,Lead,2024-04-11,2024-12-20,59,Completed
1036,PROJ_1006,Odit aperiam vitae voluptate.,Retail,Low,Engineer,2023-04-20,2023-12-19,90,Delayed
1037,PROJ_1001,Accusamus dolores est cumque.,Government,Critical,Lead,2023-03-11,2023-07-03,94,Delayed
1037,PROJ_1002,Doloremque in excepturi.,Retail,Critical,Engineer,2023-07-16,2023-12-29,98,Delayed
1037,PROJ_1003,Reprehenderit distinctio alias provident.,Retail,Medium,Advisor,2024-05-15,2024-12-06,53,Delayed
1037,PROJ_1004,Enim laudantium occaecati.,Transport,Critical,Engineer,2022-12-16,2023-12-12,66,Completed
1037,PROJ_1005,Explicabo voluptates dolores.,Insurance,High,Analyst,2024-01-28,2024-06-06,84,Completed
1037,PROJ_1006,Minima itaque cum.,Energy,Low,Analyst,2025-05-16,2025-12-29,62,Completed
1038,PROJ_1001,Quod velit.,Retail,Low,Engineer,2024-05-26,2025-02-10,62,Completed
1038,PROJ_1002,Illum fugiat ex sequi adipisci.,Banking,Critical,Engineer,2023-01-05,2023-08-07,85,On Track
1038,PROJ_1003,Possimus tenetur accusamus dolorem explicabo.,Insurance,High,Lead,2023-12-02,2024-09-11,66,On Track
1038,PROJ_1004,Veniam asperiores accusantium.,Insurance,Low,Advisor,2022-06-19,2023-05-29,98,On Track
1038,PROJ_1005,Consectetur aliquam.,Government,Critical,Analyst,2024-05-18,2025-02-21,86,Completed
1039,PROJ_1001,Ea ut pariatur tenetur.,Energy,High,Engineer,2025-07-31,2026-03-11,62,On Track
1039,PROJ_1002,Ratione tempore numquam labore.,Banking,Critical,Lead,2024-03-19,2024-12-28,66,Delayed
1039,PROJ_1003,Omnis recusandae laborum.,Transport,High,Engineer,2022-08-23,2023-07-14,58,Delayed
1040,PROJ_1001,Consequatur earum qui corporis.,Healthcare,Low,Analyst,2024-12-21,2025-12-14,98,Completed
1040,PROJ_1002,Ducimus perspiciatis assumenda.,Banking,Low,Engineer,2023-07-14,2023-12-21,50,Completed
1040,PROJ_1003,Ullam nobis tempore nobis.,Government,Low,Advisor,2022-07-25,2023-06-13,92,Delayed
